cell,discharge_order,source_cycle_index,raw_points,scored_points,tail_points,local_voltage_kind,local_temperature_kind,selected_lambda,probe_certification_error,safe_joint_error,local_joint_error,flow_joint_error,safe_vs_local_ratio,safe_tail_error,local_tail_error,tail_safe_vs_local_ratio,catastrophic,development_target_cell,clock_regularization,blend_penalty,transport_alpha,transport_beta,transport_tau,transport_temperature_lag,transport_C_probe_Ah,transport_probe_data_loss,transport_regularized_objective
B0006,81,281,330,325,26,pchip,pchip,0.0,0.009580041269688326,0.10263349122774283,0.10263349122774283,0.10581870375580449,1.0,0.10156363769980492,0.10156363769980492,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.6969414017460533,0.00262963446143816,0.00341713446143816
B0006,86,301,326,321,26,pchip,pchip,0.0,0.014862911681551062,0.1063452639503572,0.1063452639503572,0.11225687325175461,1.0,0.09677557903547715,0.09677557903547715,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.6774870562711222,0.004009835617819391,0.004797335617819391
B0006,92,323,327,322,26,pchip,poly3,0.0,0.0024005999166124723,0.09492319491204108,0.09492319491204108,0.09722172662387295,1.0,0.13439817381932168,0.13439817381932168,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.6765977620053767,0.0015439192745773337,0.0015439192745773337
B0006,98,347,322,317,26,pchip,pchip,0.0,0.01197919995781797,0.10767656827423773,0.10767656827423773,0.11316239543887133,1.0,0.10576610178234966,0.10576610178234966,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.6566886107469934,0.0034043141579920824,0.004191814157992082
B0006,104,370,320,315,26,pchip,pchip,0.0,0.012629696264919301,0.10702545345614912,0.10702545345614912,0.11344595522767789,1.0,0.10488208386205468,0.10488208386205468,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.63848067240894,0.0038910882105958563,0.004678588210595856
B0006,109,390,317,312,25,pchip,pchip,0.0,0.0215988233759083,0.11444327304682397,0.11444327304682397,0.12312803642687906,1.0,0.08942616061940734,0.08942616061940734,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.618991538080383,0.006326151196063778,0.007113651196063778
B0006,115,414,313,308,25,pchip,pchip,0.0,0.027057776847947468,0.12069064297664536,0.12069064297664536,0.13087056702508792,1.0,0.08823695595954396,0.08823695595954396,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5990882170726861,0.007627973229528545,0.008415473229528545
B0006,121,436,313,308,25,pchip,pchip,0.0,0.021640519015162833,0.12042484044389222,0.12042484044389222,0.12984371163494546,1.0,0.09382312163530296,0.09382312163530296,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5997780386534282,0.00654736454080244,0.00733486454080244
B0006,127,460,309,304,25,pchip,pchip,0.0,0.03671930969342384,0.12658878553530473,0.12658878553530473,0.1404600261804443,1.0,0.08350810800769219,0.08350810800769219,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5794911882326512,0.010077650779251043,0.010865150779251043
B0006,132,480,308,303,25,pchip,pchip,0.0,0.04137859919564078,0.12555793987679872,0.12555793987679872,0.14159924935593957,1.0,0.0779283127690313,0.0779283127690313,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5800232239511287,0.010947845728184176,0.011735345728184176
B0006,138,500,306,301,24,pchip,pchip,0.0,0.049567494028780114,0.127159009608211,0.127159009608211,0.14470016481307843,1.0,0.06719905345727588,0.06719905345727588,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.56064174758487,0.01315093910713519,0.01393843910713519
B0006,144,524,303,298,24,pchip,pchip,0.0,0.06467494683371447,0.12801028562823902,0.12801028562823902,0.1503072642600512,1.0,0.06227218476622724,0.06227218476622724,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5608268448542437,0.01632502178958989,0.01711252178958989
B0006,150,547,305,300,24,pchip,pchip,0.0,0.054717579951498375,0.12720596442367915,0.12720596442367915,0.14816996023267984,1.0,0.06718462575557672,0.06718462575557672,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5605655774052807,0.014314407861710243,0.015101907861710243
B0006,155,567,301,296,24,pchip,pchip,0.0,0.09321795060465458,0.12530587262960113,0.12530587262960113,0.1566952713821096,1.0,0.058533862545119636,0.058533862545119636,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5423207628533233,0.022749945413128934,0.023537445413128934
B0006,161,591,298,293,24,pchip,pchip,0.0,0.12105986179213173,0.122243581412332,0.122243581412332,0.16188874994063748,1.0,0.05477620205987711,0.05477620205987711,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5217534421350614,0.028701188706852176,0.029488688706852176
B0006,167,613,300,295,24,pchip,pchip,0.0,0.12798856233164405,0.12651171801903052,0.12651171801903052,0.16532817440200848,1.0,0.05393915648608557,0.05393915648608557,1.0,False,B0006,0.1,0.03,0.0,1.0,-0.15,0.0,1.5422676152794983,0.029723507809627837,0.030511007809627837
